trajectory_id,trajectory_index,energy_mean,energy_std,energy_min,energy_max,energy_early_mean,energy_late_mean,energy_late_minus_early
l96_nx40_complete_state_v1_traj_030,30,9.23942932561622,0.9492775985349806,6.914739629524847,13.060196978918151,9.155103170564148,9.323673211248723,0.1685700406845747
l96_nx40_complete_state_v1_traj_031,31,9.41340970875003,0.8851814453940031,7.120635596085188,11.959078161255919,9.321896629698715,9.504833506748623,0.18293687704990802
l96_nx40_complete_state_v1_traj_032,32,9.28731187152269,0.9443656172433661,6.544504285151838,11.90984379814008,9.231255352592736,9.343313701165881,0.11205834857314478
l96_nx40_complete_state_v1_traj_033,33,9.380536052111408,1.1031291577347586,6.472459782204654,11.987523340856706,9.016213854077206,9.744502813854842,0.7282889597776361
l96_nx40_complete_state_v1_traj_034,34,9.412795574776812,0.8595355770956468,6.9620507344022045,12.008021878658187,9.525612111566112,9.300089102901456,-0.22552300866465558
l96_nx40_complete_state_v1_traj_035,35,9.212252690882751,0.9115610611198266,6.796378080580522,12.584621810877385,9.05086823618912,9.373479697327907,0.3226114611387878
l96_nx40_complete_state_v1_traj_036,36,9.39602916660145,0.9521988761343755,6.858735361077916,12.478301346764459,9.220738485641839,9.571148832262569,0.35041034662073045
l96_nx40_complete_state_v1_traj_037,37,9.298454242189731,0.820803999579474,6.815895483479467,11.763299445270535,9.353991757116573,9.242970910204281,-0.1110208469122913
l96_nx40_complete_state_v1_traj_038,38,9.309142931701237,0.9342416750215528,6.952889169782239,12.037433222677436,9.553945359887633,9.064579335152095,-0.4893660247355385
l96_nx40_complete_state_v1_traj_039,39,9.452051536265731,0.8738635219261962,6.834892302561519,12.577763251656425,9.476475473237176,9.427651427525479,-0.048824045711697295
l96_nx40_complete_state_v1_traj_040,40,9.31302258574912,0.9730645443144629,6.822769099370021,11.883050239389245,9.202206904168913,9.423730154469252,0.22152325030033992
l96_nx40_complete_state_v1_traj_041,41,9.317306312352793,0.9282680815009346,6.345363669716698,11.77665086979762,9.137013059411979,9.49742366943708,0.36041061002510055
l96_nx40_complete_state_v1_traj_042,42,9.432470883482036,0.8861640554438163,7.353144402866988,12.015391917233185,9.41022424021897,9.454695822702888,0.04447158248391858
l96_nx40_complete_state_v1_traj_043,43,9.625472298962421,0.9042880054500329,6.707217529625756,12.489640145680657,9.632107528649762,9.618843542669897,-0.013263985979865112
l96_nx40_complete_state_v1_traj_044,44,9.470970803112332,1.004142176523362,6.73232967046162,12.386976865799303,9.365868349198958,9.575970718046273,0.21010236884731448
l96_nx40_complete_state_v1_traj_045,45,9.387675206629957,0.9550397498108752,6.933206025803041,11.681499459200255,9.415043415371771,9.360333698579595,-0.05470971679217662
l96_nx40_complete_state_v1_traj_046,46,9.222622281169134,0.9089261417399676,7.05716735810321,11.996202851323723,9.255948634881161,9.189328440972925,-0.06662019390823559
l96_nx40_complete_state_v1_traj_047,47,9.281084675584607,0.9548845092019745,6.28364837617569,11.766411727808212,9.06250655622035,9.499449548003145,0.4369429917827947
l96_nx40_complete_state_v1_traj_048,48,9.331440410305698,0.8784835423714642,6.541391589171662,11.748620052628036,9.403292761740994,9.259658158725452,-0.14363460301554198
l96_nx40_complete_state_v1_traj_049,49,9.575710333768637,0.8359274337006952,7.366257459249896,12.084723637872376,9.823000536748916,9.32866138952297,-0.4943391472259453
l96_nx40_complete_state_v1_traj_050,50,9.48264314693196,1.059292190779757,6.485257785579941,12.117888112508668,9.597615461679704,9.36778300029616,-0.22983246138354296
l96_nx40_complete_state_v1_traj_051,51,9.5884383461264,1.003645683403538,6.854431934906868,12.66605910585611,9.580257099196785,9.59661161135169,0.01635451215490491
l96_nx40_complete_state_v1_traj_052,52,9.356559884067403,0.930055953158583,6.774888276151185,11.610852710031333,9.421884600847312,9.291298898718502,-0.13058570212881015
l96_nx40_complete_state_v1_traj_053,53,9.510234990909717,0.8483636109285163,7.0589810909367205,12.156011850821907,9.638059541342471,9.382535147355432,-0.25552439398703974
l96_nx40_complete_state_v1_traj_054,54,9.492181547205503,0.8015879735116853,7.20498056652139,11.638943300073159,9.444356078947216,9.539960356470369,0.0956042775231527
l96_nx40_complete_state_v1_traj_055,55,9.44008300165255,0.8828495978672704,7.180489854684102,12.215726363301098,9.302368336008204,9.577663311525528,0.2752949755173244
l96_nx40_complete_state_v1_traj_056,56,9.20952892999622,0.8852262833864813,7.14831763260095,11.57580683937529,9.327339552866121,9.091833244319366,-0.23550630854675525
l96_nx40_complete_state_v1_traj_057,57,9.431332982193682,0.8636036642908527,7.117802536783074,11.443562646151879,9.461436006097786,9.401259327093383,-0.060176679004403155
l96_nx40_complete_state_v1_traj_058,58,9.403168571955591,0.8785289922773456,6.5741699961730635,11.735205183302885,9.655695282121599,9.150888229311702,-0.5048070528098965
l96_nx40_complete_state_v1_traj_059,59,9.43148415829067,0.9788976118235158,6.423913959396098,12.399752172209684,9.548966186214539,9.31411674697941,-0.2348494392351288
l96_nx40_complete_state_v1_traj_060,60,9.45334397227081,1.0743800459615642,6.892929983421032,12.82821655809299,9.556143662217,9.350644574705058,-0.20549908751194224
l96_nx40_complete_state_v1_traj_061,61,9.41084768186815,0.889850218062228,7.171830496249099,13.286031603021948,9.565075594173905,9.2567702358183,-0.30830535835560546
l96_nx40_complete_state_v1_traj_062,62,9.128635685691041,0.9563710048096958,6.589141026166014,11.680466050014214,8.989807338274225,9.2673285908177,0.27752125254347426
l96_nx40_complete_state_v1_traj_063,63,9.432205882013278,0.873779626055569,6.775342579801726,12.186495886734972,9.384674414845321,9.479690977018143,0.0950165621728214
l96_nx40_complete_state_v1_traj_064,64,9.454460445445294,0.9039162991114954,7.0385822825204105,12.346475626093895,9.50728736710401,9.401685062246735,-0.10560230485727473
